Scenario,C_Bio,P_Bio,Bio_km,Bio_vehicle_EF,Bio_km_multiplier,Bio_EC,Co_Bio,CE_Bio,a,b,c,d,e,e2,e3,e4,C0,CP_FF ,FF_km,FF_vehicle_EF,FF_km_multiplier,EC_FF,Co_FF,CE_Fossil,MATf  ,RefMAT,Q10 ,BDRk
Chip_3.3km_90CE_e40_C_Bio_x1,2.63,0.76,3.3,0.2,1.29,9.23,112,90,646.346,0.793,364.658,95.478,40,80,120,160,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_3.3km_75CE_e40_C_Bio_x1,2.63,0.76,3.3,0.2,1.29,9.23,112,75,646.346,0.793,364.658,95.478,40,80,120,160,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_3.3km_65CE_e40_C_Bio_x1,2.63,0.76,3.3,0.2,1.29,9.23,112,65,646.346,0.793,364.658,95.478,40,80,120,160,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_50km_90CE_e40_C_Bio_x1,2.63,0.76,50,0.2,1.29,9.23,112,90,646.346,0.793,364.658,95.478,40,80,120,160,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_50km_75CE_e40_C_Bio_x1,2.63,0.76,50,0.2,1.29,9.23,112,75,646.346,0.793,364.658,95.478,40,80,120,160,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_50km_65CE_e40_C_Bio_x1,2.63,0.76,50,0.2,1.29,9.23,112,65,646.346,0.793,364.658,95.478,40,80,120,160,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_3.3km_90CE_e24_C_Bio_x1,2.63,0.76,3.3,0.2,1.29,9.23,112,90,646.346,0.793,364.658,66.972,24,48,72,96,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_3.3km_75CE_e24_C_Bio_x1,2.63,0.76,3.3,0.2,1.29,9.23,112,75,646.346,0.793,364.658,66.972,24,48,72,96,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_3.3km_65CE_e24_C_Bio_x1,2.63,0.76,3.3,0.2,1.29,9.23,112,65,646.346,0.793,364.658,66.972,24,48,72,96,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_50km_90CE_e24_C_Bio_x1,2.63,0.76,50,0.2,1.29,9.23,112,90,646.346,0.793,364.658,66.972,24,48,72,96,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_50km_75CE_e24_C_Bio_x1,2.63,0.76,50,0.2,1.29,9.23,112,75,646.346,0.793,364.658,66.972,24,48,72,96,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
Chip_50km_65CE_e24_C_Bio_x1,2.63,0.76,50,0.2,1.29,9.23,112,65,646.346,0.793,364.658,66.972,24,48,72,96,112,14.9,1039,0.184,2.8,44.3,75,70,0,0,0,0
