HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Cabin_Deck,Cabin_Number,Cabin_Side,Total Expenditure
0,0,2,28.0,0,0.0,4.02535169073515,0.0,6.487684018484611,0.0,0,5,82,1,6.568077911411976
0,0,2,17.0,0,0.0,7.086737934510577,3.4657359027997265,0.0,0.0,0,5,575,0,7.112327444710911
1,1,0,28.0,0,0.0,0.0,0.0,0.0,0.0,1,2,329,1,0.0
2,0,2,20.0,0,0.0,1.0986122886681096,5.66988092298052,6.884486652042782,0.0,1,5,1800,0,7.145196134997171
1,1,0,36.0,0,0.0,0.0,0.0,0.0,0.0,1,2,18,0,0.0
2,0,2,37.0,0,6.90875477931522,0.0,4.394449154672439,3.713572066704308,0.0,0,5,1601,0,7.02197642307216
2,1,0,25.0,0,0.0,0.0,0.0,0.0,0.0,1,5,86,1,0.0
0,1,2,32.0,0,0.0,0.0,0.0,0.0,0.0,1,6,1122,0,0.0
1,1,2,32.0,0,0.0,0.0,0.0,0.0,0.0,0,1,261,0,0.0
0,0,2,21.0,0,6.4692503167957724,0.0,0.0,0.0,1.0986122886681096,0,5,1561,1,6.472346294500901
1,0,2,40.0,1,0.0,2.4849066497880004,0.0,7.698936199813447,7.16703787691222,1,2,105,1,8.163940954755008
0,0,2,15.0,0,0.0,6.415096959171596,5.5909869805108565,0.0,0.0,0,5,1469,0,6.777646593635117
2,0,2,31.0,0,6.82001636467413,0.0,7.1808311990445555,5.916202062607435,0.0,0,5,1278,0,7.8628820346414905
2,0,2,41.0,0,5.983936280687191,0.0,6.483107351457199,0.0,0.0,0,4,529,0,6.956545443151569
2,0,2,30.0,0,6.2766434893416445,6.694562058521095,3.58351893845611,5.303304908059076,0.0,0,5,893,1,7.3613754289773485
3,0,1,32.0,0,0.0,4.07753744390572,0.0,0.0,6.466144724237619,1,6,330,0,6.55250788703459
2,0,2,38.0,1,4.204692619390966,0.0,6.899723107284872,0.0,0.0,0,3,113,0,6.964135612418245
0,1,0,27.0,0,0.0,0.0,0.0,0.0,0.0,1,6,376,0,0.0
0,0,0,4.0,0,0.0,0.0,0.0,0.0,0.0,0,6,1417,1,0.0
0,0,2,20.0,0,0.0,3.970291913552122,0.0,4.709530201312334,6.421622267806518,0,5,1545,1,6.655440350367647
0,0,2,45.0,0,1.0986122886681096,5.82600010738045,5.730099782973575,4.174387269895637,0.0,0,5,1746,1,6.568077911411976
1,0,2,46.0,0,0.0,8.154212694914229,0.0,0.6931471805599453,8.620471540869739,0,3,171,1,9.107421317968342
2,0,2,58.0,0,4.02535169073515,0.0,6.6293632534374485,5.5093883366279774,4.61512051684126,0,5,211,1,7.05444965813294
